pathway	transcriptome_pval	transcriptome_padj	proteome_pval	proteome_padj	ES_transcriptome	NES_transcriptome	ES_proteome	NES_proteome	combined_pval	combined_padj	log10combp
(KEGG) Inflammatory bowel disease	5.08473269235623e-05	0.0161694499616928	0.000328950679237368	0.0523031579987416	0.919339134484673	2.22050790055146	0.919339134484673	2.25266879546122	0.00389630722205105	0.091542447319055	2.40934680652106
(KEGG) Th1 and Th2 cell differentiation	0.000303751142575549	0.0482964316695123	0.000110763502619502	0.0352227938330015	0.763442083364237	2.47328284836585	0.763442083364237	2.54620897532753	0.00706168884256472	0.091542447319055	2.15109142256084
(KEGG) Pathways of neurodegeneration - multiple diseases	0.0016126877900031	0.084059288894849	0.000600195541916722	0.0636207274431725	0.484498653569496	1.90896841402373	0.498262301316307	1.99323148373558	0.0200374996495187	0.091542447319055	1.69815647223416
(KEGG) Amyotrophic lateral sclerosis	0.00294534669879169	0.084059288894849	0.000954702141236759	0.0700644929674344	0.54031634804847	2.04667715596381	0.550720356650632	2.12904676068945	0.0218065934888706	0.091542447319055	1.66141217231833
(KEGG) Coronavirus disease - COVID-19	0.000855016355838187	0.084059288894849	0.00110164297118607	0.0700644929674344	0.566637485176992	2.13184124914911	0.566080149242758	2.16494680231474	0.0218065934888706	0.091542447319055	1.66141217231833
(KEGG) Adipocytokine signaling pathway	0.019835312183915	0.084059288894849	0.00564313172061393	0.0741946724288347	0.568641895588333	1.69110627289227	0.568779295973054	1.70322833234565	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) Alcoholic liver disease	0.0121363009110372	0.084059288894849	0.0114364472654291	0.0741946724288347	0.555834078685772	1.85999052067025	0.555834078685772	1.89241667600701	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) Alzheimer disease	0.0134413741366937	0.084059288894849	0.0130667725247359	0.0741946724288347	0.483939126688064	1.84999078022313	0.49782650076836	1.9364771346216	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) Autophagy - animal	0.0137668972525649	0.084059288894849	0.0101976234605276	0.0741946724288347	0.453821781781731	1.61668414016882	0.448644670295906	1.61846750525715	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) Autophagy - other	0.0110351907305571	0.084059288894849	0.014174951785992	0.0741946724288347	0.65098852728777	1.62413766475432	0.651125607479683	1.67215420521134	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) B cell receptor signaling pathway	0.0077797289525256	0.084059288894849	0.00747010526942426	0.0741946724288347	0.65794017048255	2.20166867630572	0.657664232292705	2.23911200865331	0.0229381823691018	0.091542447319055	1.63944099874269
(KEGG) Biosynthesis of cofactors	0.0137893554862558	0.084059288894849	0.0143550458722451	0.0741946724288347	0.463207955171857	1.59265376172849	0.466424715250927	1.64247053095032	0.0229381823691018	0.091542447319055	1.63944099874269
