protein	pearson_coef	pearson_p	pearson_padj	spearman_coef	spearman_p	spearman_padj
A2M	-0.11578002699553	0.347108469493106	0.347108469493106	-0.155323128602512	0.205952734653641	0.205952734653641
AAAS	-0.0496180983837778	0.687814145246656	0.687814145246656	-0.0559224338664733	0.650582345064737	0.650582345064737
AACS	0.103708663741932	0.400000159033999	0.400000159033999	0.181356643890522	0.138851158948302	0.138851158948302
AAGAB	0.0719051250438817	0.560090669604103	0.560090669604103	0.0368744512730465	0.765292144989631	0.765292144989631
AAMDC	-0.147540260737212	0.22987701703985	0.22987701703985	-0.12715196396534	0.301471108967516	0.301471108967516
AAMP	0.1244316345545	0.312015539466885	0.312015539466885	0.189945413596977	0.120793426971339	0.120793426971339
AAR2	0.0520488760460026	0.673364789247394	0.673364789247394	-0.0561896400351185	0.649022163615505	0.649022163615505
AARS	0.0976505356762835	0.428236043983233	0.428236043983233	0.105050196587395	0.393898843685696	0.393898843685696
AARS2	0.234242512574606	0.0545248526620548	0.0545248526620548	0.173264114211551	0.157657066919519	0.157657066919519
AASDH	0.0671092331382934	0.586613086737893	0.586613086737893	-0.0616482803374432	0.617486911465278	0.617486911465278
AASDHPPT	0.1785301312785	0.145217478327576	0.145217478327576	0.154941405504447	0.207083232211881	0.207083232211881
AATF	-0.0296849791066453	0.810095213987747	0.810095213987747	-0.0367599343436271	0.766000230817939	0.766000230817939
ABAT	0.171138134167797	0.162896616489506	0.162896616489506	0.17921899454136	0.143646146345441	0.143646146345441
ABCA1	-0.0393952770525454	0.749754761750882	0.749754761750882	0.0342787342062068	0.781388078337681	0.781388078337681
ABCA5	0.064002592926758	0.604091250809977	0.604091250809977	-0.0230560751231057	0.851954550832299	0.851954550832299
ABCB1	0.0181279597206901	0.883347080854356	0.883347080854356	0.0602740771844104	0.625364142320167	0.625364142320167
ABCB10	0.0413711759435105	0.737644732369232	0.737644732369232	-0.0613810741687979	0.619015269418103	0.619015269418103
ABCB4	-0.190115375504884	0.120455147604246	0.120455147604246	-0.109592701454365	0.373651981955747	0.373651981955747
ABCB7	-0.11048261328025	0.369760520252682	0.369760520252682	-0.154674199335802	0.207877193998241	0.207877193998241
ABCB8	0.159681253480551	0.193355390791378	0.193355390791378	0.114822307897851	0.351138502091073	0.351138502091073
ABCC1	0.160093055820004	0.192194306848675	0.192194306848675	0.232736572890026	0.05614217120309	0.05614217120309
ABCC10	-0.159928121122952	0.192658740378777	0.192658740378777	-0.205023475970531	0.0935052611360625	0.0935052611360625
ABCC4	0.0812991004657484	0.509849167590903	0.509849167590903	-0.00522960644348589	0.966239461474272	0.966239461474272
ABCD1	0.0890523103516277	0.470192311306837	0.470192311306837	0.110432492270107	0.369979036280141	0.369979036280141
